NIL;Classe_eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Tipologia_familiare;Cittadinanza;famiglie_2007;famiglie_2008;famiglie_2009;famiglie_2010;famiglie_2011;famiglie_2012;famiglie_2013;famiglie_2014;famiglie_2015
Adriano;18-34;Femmine;1;Single;Altri paesi;33;32;38;38;43;56;41;36;40
Adriano;18-34;Femmine;1;Single;Cina;9;7;10;10;6;8;13;11;14
Adriano;18-34;Femmine;1;Single;Ecuador;3;2;2;4;4;3;2;3;3
Adriano;18-34;Femmine;1;Single;Egitto;0;0;0;0;0;1;1;1;2
Adriano;18-34;Femmine;1;Single;Filippine;7;7;6;6;12;17;17;11;12
Adriano;18-34;Femmine;1;Single;Italia;77;67;74;100;138;161;155;151;158
Adriano;18-34;Femmine;1;Single;Perù;11;11;8;11;12;12;11;10;8
Adriano;18-34;Femmine;1;Single;Sri Lanka;4;4;5;4;3;4;5;4;5
Adriano;18-34;Femmine;2;Altre tipologie;Altri paesi;0;0;0;0;0;0;0;1;0
Adriano;18-34;Femmine;2;Altre tipologie;Filippine;2;2;2;2;2;1;1;1;1
Adriano;18-34;Femmine;2;Altre tipologie;Italia;2;2;2;5;8;9;5;5;5
Adriano;18-34;Femmine;2;Altre tipologie;Sri Lanka;0;0;0;1;0;0;0;0;0
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Altri paesi;0;0;1;1;2;1;1;0;2
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Cina;0;0;0;0;0;1;0;0;0
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Egitto;0;0;0;0;0;0;1;0;0
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Filippine;0;0;0;0;0;1;1;0;0
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Italia;2;1;3;3;7;9;4;10;11
Adriano;18-34;Femmine;2;Coppia convivente senza figli;Sri Lanka;0;0;0;0;0;0;0;0;1
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Altri paesi;2;1;4;3;4;4;6;6;7
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Cina;1;0;0;0;0;0;0;1;0
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Egitto;0;0;0;0;0;0;0;1;0
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Filippine;1;1;2;1;1;0;0;1;0
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Italia;15;9;13;10;16;22;18;17;16
Adriano;18-34;Femmine;2;Coppia sposata senza figli;Sri Lanka;0;0;0;1;0;0;0;0;0
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Altri paesi;3;7;7;8;17;17;13;9;9
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Cina;9;9;5;8;8;6;8;10;6
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Ecuador;4;1;1;3;5;5;3;1;1
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Egitto;1;0;0;1;1;2;2;1;1
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Filippine;6;3;5;3;6;6;5;8;6
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Italia;17;15;20;21;28;27;22;24;29
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Perù;7;3;6;3;4;6;4;3;2
Adriano;18-34;Femmine;2;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;1;2;0;0;0;0;0;0
Adriano;18-34;Femmine;3;Altre tipologie;Italia;1;1;1;0;1;1;1;1;1
Adriano;18-34;Femmine;3;Altre tipologie;Perù;0;0;0;0;1;0;0;0;0
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Altri paesi;0;0;2;1;3;3;2;4;5
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Cina;0;0;0;0;1;0;0;0;0
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Ecuador;0;0;0;1;0;1;1;1;1
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;0;1;1
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Filippine;1;0;0;0;0;0;1;2;1
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Italia;3;3;4;3;8;9;10;6;10
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Perù;0;0;1;1;2;1;0;0;0
Adriano;18-34;Femmine;3;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;0;1
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Altri paesi;0;2;2;2;5;7;7;5;4
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Ecuador;1;0;1;1;1;2;1;1;0
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;0;0;1
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Filippine;1;1;1;1;2;0;0;0;0
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Italia;12;9;6;10;18;20;20;17;17
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Perù;1;0;1;0;0;1;1;1;0
Adriano;18-34;Femmine;3;Coppia sposata con almeno un figlio minorenne;Sri Lanka;0;0;0;1;1;1;0;1;3
Adriano;18-34;Femmine;3;Coppia sposata con figli tutti maggiorenni;Italia;0;0;0;1;1;0;0;0;0
Adriano;18-34;Femmine;3;Coppia sposata senza figli;Italia;1;0;0;0;0;0;0;0;0
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Altri paesi;0;0;0;0;1;1;1;2;3
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Cina;2;2;3;1;3;3;2;2;4
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Ecuador;0;0;1;1;2;1;0;0;0
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Egitto;0;0;1;0;0;0;0;0;0
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Filippine;0;1;0;0;0;0;0;0;0
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Italia;2;2;3;2;7;9;7;5;4
Adriano;18-34;Femmine;3;Monogenitore con almeno un figlio minorenne;Perù;0;0;0;0;1;1;1;1;2
Adriano;18-34;Femmine;4;Altre tipologie;Cina;1;0;0;0;0;0;0;0;0
Adriano;18-34;Femmine;4;Altre tipologie;Italia;0;0;0;0;0;1;1;0;1
Adriano;18-34;Femmine;4;Altre tipologie;Perù;0;0;0;0;0;0;0;0;0
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Altri paesi;0;0;0;0;0;1;2;2;2
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Cina;1;1;1;1;1;2;1;1;1
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Ecuador;0;0;0;0;1;1;1;0;0
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;0;0;1
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Filippine;1;0;0;0;1;1;1;2;1
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Italia;2;1;1;2;3;6;5;8;7
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Perù;1;1;1;2;2;2;2;2;1
Adriano;18-34;Femmine;4;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;1;1
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Altri paesi;1;2;1;0;1;1;3;4;5
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Cina;1;4;2;4;3;3;2;2;2
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Ecuador;1;0;0;0;1;1;2;2;1
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Egitto;0;0;0;0;1;2;3;2;1
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Filippine;1;1;1;2;1;1;1;1;1
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Italia;6;9;6;5;9;6;8;15;14
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Perù;0;0;0;0;0;1;0;0;0
Adriano;18-34;Femmine;4;Coppia sposata con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;1;2;2
Adriano;18-34;Femmine;4;Monogenitore con almeno un figlio minorenne;Cina;1;1;1;0;0;0;0;0;0
Adriano;18-34;Femmine;4;Monogenitore con almeno un figlio minorenne;Egitto;0;0;0;0;0;0;0;0;1
Adriano;18-34;Femmine;4;Monogenitore con almeno un figlio minorenne;Filippine;0;0;0;0;1;0;0;0;0
Adriano;18-34;Femmine;4;Monogenitore con almeno un figlio minorenne;Italia;1;1;1;2;2;2;3;3;2
Adriano;18-34;Femmine;4;Monogenitore con figli tutti maggiorenni;Cina;0;1;0;0;0;0;0;0;0
Adriano;18-34;Femmine;4;Monogenitore con figli tutti maggiorenni;Italia;0;0;1;1;1;1;1;1;1
Adriano;18-34;Maschi;1;Single;Altri paesi;45;40;46;56;60;60;62;66;61
Adriano;18-34;Maschi;1;Single;Cina;21;21;18;19;20;23;22;21;20
Adriano;18-34;Maschi;1;Single;Ecuador;4;5;5;5;5;3;2;2;2
Adriano;18-34;Maschi;1;Single;Egitto;28;26;23;30;34;48;55;64;62
Adriano;18-34;Maschi;1;Single;Filippine;7;8;8;7;6;13;12;13;13
Adriano;18-34;Maschi;1;Single;Italia;99;91;117;135;200;218;202;194;184
Adriano;18-34;Maschi;1;Single;Perù;7;7;8;10;10;10;7;8;7
Adriano;18-34;Maschi;1;Single;Sri Lanka;7;8;8;9;6;9;8;4;5
Adriano;18-34;Maschi;2;Altre tipologie;Altri paesi;0;0;0;2;0;0;3;5;5
Adriano;18-34;Maschi;2;Altre tipologie;Cina;0;3;2;0;0;0;0;0;0
Adriano;18-34;Maschi;2;Altre tipologie;Italia;16;10;14;9;13;19;13;16;9
Adriano;18-34;Maschi;2;Altre tipologie;Sri Lanka;0;0;0;0;0;0;0;2;2
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Altri paesi;0;0;2;5;1;1;3;1;0
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Cina;0;0;0;0;0;0;2;1;2
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Ecuador;0;0;2;2;0;0;0;0;0
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Egitto;0;0;0;0;0;2;0;0;1
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Filippine;2;2;2;2;0;0;0;0;0
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Italia;18;17;20;24;28;31;25;24;26
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Perù;0;0;0;0;1;1;0;0;0
Adriano;18-34;Maschi;2;Coppia convivente senza figli;Sri Lanka;2;3;2;0;0;2;0;2;3
Adriano;18-34;Maschi;2;Coppia sposata senza figli;Altri paesi;4;12;10;5;0;4;10;8;3
Adriano;18-34;Maschi;2;Coppia sposata senza figli;Ecuador;5;0;0;0;0;0;0;0;0
Adriano;18-34;Maschi;2;Coppia sposata senza figli;Filippine;2;3;0;0;0;0;0;0;0
Adriano;18-34;Maschi;2;Coppia sposata senza figli;Italia;53;49;28;38;33;37;43;41;43
Adriano;18-34;Maschi;2;Coppia sposata senza figli;Perù;0;0;0;0;1;2;2;1;0
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Altri paesi;11;12;6;4;9;6;7;5;5
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Cina;7;3;8;13;6;4;5;3;3
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Egitto;0;7;2;0;1;2;2;0;0
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Filippine;2;2;4;2;2;4;3;1;1
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Italia;2;3;8;11;7;6;2;2;3
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Perù;0;0;2;0;0;0;0;0;0
Adriano;18-34;Maschi;2;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;2;0
